name,text_type
武媚娘传奇 ,传记 历史 古装
雪狼,剧情 爱情 战争
重要的财商教育,短片
我的爱情撞上了战争,剧情 战争
隋唐英雄之薛刚反唐 ,剧情
HD爱情公寓第集,剧情 爱情 情色
我的小姨,剧情 爱情 家庭
奇星记之鲜衣怒马少年时 ,剧情 奇幻 古装
前情提要阳光下的法庭,剧情
迪迦奥特曼new,动作 科幻 奇幻 冒险
好久不见  ,剧情 爱情
深夜食堂第集,剧情
放弃我抓紧我 ,剧情 爱情
少林寺传奇藏经阁 ,武侠 古装
喜羊羊与灰太狼之智趣羊学堂 上部 ,动画 儿童
兄弟兄弟 ,剧情
山猫吉米之快乐篇 ,剧情 科幻 悬疑 惊悚
HD古剑奇谭,剧情 奇幻 武侠 古装
穆桂英挂帅 ,动作 爱情 古装
我的体育老师 ,剧情 爱情
我是大侦探,真人秀
HD旋风少女第集,音乐 舞台艺术
八九不离十,剧情 爱情
爱情公寓 ,喜剧 爱情
河狸的故事,纪录片
暖爱,剧情 爱情
刷新 ,剧情
美丽谎言 ,剧情
父母爱情,爱情 家庭
一线,剧情 喜剧 爱情 家庭
隋唐英雄 ,剧情 历史 古装
棋武士,剧情 古装
大冒险家 DVD版 ,剧情 动作
最佳嫌疑人,喜剧 爱情 悬疑
末法王座第集,科幻 悬疑
四季味道,真人秀
侏罗纪世界,动作 科幻 冒险
金牌律师 ,剧情 惊悚 犯罪
之黄金眼,动作 惊悚 冒险
关中义事 ,剧情 爱情
 冷暖人生 人到中年下,剧情 动画 战争
乐高星球大战 费明克银河探险 ,家庭
中国蓝周播剧场,剧情 爱情 历史
南方有乔木,剧情 爱情
新名侦探柯南VIII,动画 悬疑
天剑绝刀之独孤九剑,动作
指令宝贝 TV版 ,剧情 动画 悬疑 犯罪
天使艾美丽 ,喜剧 爱情
十二只猴子第一季 ,科幻 悬疑 惊悚
仙剑客栈 第一季 ,剧情 武侠 古装
首播谢谢你来了,剧情 历史 战争
京剧猫之信念的冒险 ,动画 儿童 奇幻 冒险
极限挑战Ⅱ,真人秀
卡酷卡通,喜剧 奇幻
早教测试,动画 儿童
小楼又东风预告,剧情 爱情
古装剧场,剧情 喜剧 古装
枪神斯托拉塔斯 ,动画
HD杰克与梦幻岛海盗第二季,动画 儿童
亲亲猪猪宝贝,喜剧 奇幻 冒险
天行九歌TV版 ,剧情 动画 历史 冒险 武侠
HD爱情公寓,喜剧 爱情
老男孩猛龙过江,剧情 喜剧
海绵宝宝历险记海绵出水,喜剧 动画 冒险
爱要有你才完美 ,剧情 爱情
杰克奥特曼,动作 科幻
女生宿舍日常 第二季 ,动画
极速汽车,动作 悬疑 惊悚 灾难
企鹅家族第一季,动画 家庭
消愁,剧情 恐怖
囧女翻身之嗨如花 第二季 ,喜剧 爱情
纹身师国语版,惊悚 恐怖
小沈龙笑谈中外电影史,喜剧
一个鬼子都不留,剧情
首页视频,剧情
红楼梦第集,爱情 家庭 古装
三生三世十里桃花,剧情 爱情
猪迪克之古怪岛大冒险 ,动画 儿童 冒险
汪汪队立大功 ,动作 动画 儿童 冒险
快乐冒险合辑,喜剧 动画 短片 奇幻
